,Company,ESP,Estimate_eps,Estimate_sales,Reported_eps,Reported_sales,cap,symbol,timing,before,after,close,spy_before,spy_after,cons,beta,r2,dev,macd_before,macd_after
2020-07-28,Pfizer Inc.,+0.14,0.64,11876.0,0.78,11801.0,209195.0,PFE,bmo,37.54,38.49,,322.96,320.95,0.0003676581965714209,0.707240784737634,0.5040057282856433,-0.5939987965921973,0.3853109424292376,0.3986270174712352
2020-07-28,Trico Bancshare...,-0.25,0.5,76.5,0.25,76.32,866.0,TCBK,bmo,28.48,28.11,,322.96,320.95,0.001615982334568059,1.118861920586352,0.5752155260075691,-0.9418981528858107,-0.0544432485371594,0.009291579489176804
2020-07-28,Sify Technologi...,--,0.01,88.0,,69.68,44.0,SIFY,bmo,1.16,1.18,,322.96,320.95,0.002060630666515961,0.8842875968991959,0.16633609752066103,-0.1765482658718427,0.024075791407419507,0.027915296842034386
2020-07-28,Provident Finan...,-0.02,0.23,10.65,0.21,9.3,90.0,PROV,bmo,12.05,12.52,,322.96,320.95,0.0028451587981562013,1.0983828633370825,0.3862245100870084,-0.2584769646002673,0.024707512971728685,-0.004421586579063497
2020-07-28,Ardmore Shippin...,+0.04,0.37,54.67,0.41,47.06,137.0,ASC,bmo,4.22,4.18,,322.96,320.95,0.0035913100023151267,1.2196694782636874,0.2646934798201178,-0.2969202173423637,0.039433753241354674,0.031042970135614134
2020-07-28,Exagen Inc.,+0.50,-0.77,4.82,-0.27,8.95,144.0,XGN,bmo,11.0,11.0,,322.96,320.95,0.0053450437634797645,1.7840480753360666,0.2672195742915191,-0.5410471088730795,0.026901843235394296,0.057399134660018114
2020-07-28,Sequans Communi...,-0.09,-0.19,12.0,-0.28,12.23,163.0,SQNS,bmo,7.11,7.11,,322.96,320.95,-0.0030264268656336408,0.967470832788428,0.06457317669407159,-0.2723807041920297,-0.044580417482380785,-0.048615669789210836
2020-07-28,"Home Bancorp, I...",-0.26,0.55,25.46,0.29,25.52,232.0,HBCP,bmo,25.25,24.88,,322.96,320.95,0.002446759636966979,1.3641121851057405,0.48072652397170523,-0.3585884772815642,-0.07886624742307806,-0.048983247104120636
2020-07-28,Cambridge Banco...,+0.44,0.88,36.9,1.32,37.76,290.0,CATC,bmo,52.2,52.25,,322.96,320.95,0.0021653388798876026,1.067015733546834,0.4666164880650452,-0.420002638415453,-0.2826879118283757,-0.23446687279027514
2020-07-28,Independent Ban...,+0.45,0.22,46.45,0.67,50.83,293.0,IBCP,bmo,13.07,13.32,,322.96,320.95,0.003117467459341324,1.3402266114245855,0.31672083115973115,-0.3506622317354457,0.018253281347091754,0.010030716050480254
2020-07-28,"Altria Group, I...",+0.03,1.06,5074.37,1.09,5062.0,77773.0,MO,bmo,42.13,42.86,,322.96,320.95,0.0008864791632762954,0.7380440820517542,0.455637025939288,-0.47583928431098194,0.19494527431507214,0.15312854900711848
2020-07-28,Mcdonalds Corpo...,-0.10,0.76,3697.61,0.66,3761.5,147759.0,MCD,bmo,201.25,199.26,,322.96,320.95,0.0006340519516082981,0.9876926836979757,0.6571472427734777,1.1191670152253983,1.2620581453515958,1.4100214014539378
2020-07-28,Arch Coal Inc.,-0.04,-3.22,266.0,-3.26,319.52,463.0,ARCH,bmo,30.02,30.02,,322.96,320.95,0.005545462206780687,1.014061081068602,0.20746731542368257,0.14171946015494363,0.31859049813294393,0.3093532336338546
2020-07-28,"Neogenomics, In...",+0.05,-0.09,86.11,-0.04,86.98,3791.0,NEO,bmo,36.82,36.35,,322.96,320.95,-0.000818702186876517,1.2523268942767332,0.44225725414779893,-0.7058095366295503,-0.19732775361223043,-0.1407086087781153
